iter	Passed	Remaining
793	4257	1104
794	4262	1099
795	4268	1093
796	4273	1088
797	4278	1082
798	4285	1077
799	4290	1072
800	4295	1067
801	4301	1061
802	4306	1056
803	4311	1051
804	4317	1045
805	4322	1040
806	4327	1035
807	4333	1029
808	4339	1024
809	4344	1018
810	4349	1013
811	4355	1008
812	4361	1003
813	4367	998
814	4373	992
815	4379	987
816	4385	982
817	4392	977
818	4398	972
819	4403	966
820	4408	961
821	4414	956
822	4420	950
823	4426	945
824	4431	940
825	4436	934
826	4441	929
827	4447	923
828	4452	918
829	4456	912
830	4463	907
831	4468	902
832	4473	896
833	4478	891
834	4483	885
835	4488	880
836	4494	875
837	4499	869
838	4504	864
839	4509	859
840	4515	853
841	4519	848
842	4525	842
843	4530	837
844	4535	831
845	4541	826
846	4546	821
847	4551	815
848	4557	810
849	4562	805
850	4567	799
851	4573	794
852	4578	789
853	4583	783
854	4588	778
855	4593	772
856	4598	767
857	4604	761
858	4609	756
859	4614	751
860	4619	745
861	4627	740
862	4632	735
863	4638	730
864	4643	724
865	4648	719
866	4654	713
867	4659	708
868	4664	703
869	4670	697
870	4675	692
871	4680	687
872	4686	681
873	4691	676
874	4696	670
875	4702	665
876	4706	660
877	4712	654
878	4717	649
879	4722	644
880	4727	638
881	4733	633
882	4738	627
883	4743	622
884	4748	616
885	4754	611
886	4758	606
887	4764	600
888	4770	595
889	4775	590
890	4780	584
891	4786	579
892	4791	574
893	4796	568
894	4803	563
895	4808	558
896	4813	552
897	4819	547
898	4824	541
899	4829	536
900	4834	531
901	4839	525
902	4844	520
903	4849	515
904	4855	509
905	4861	504
906	4866	498
907	4870	493
908	4876	488
909	4881	482
910	4887	477
911	4891	472
912	4898	466
913	4905	461
914	4911	456
915	4917	450
916	4922	445
917	4928	440
918	4933	434
919	4938	429
920	4944	424
921	4949	418
922	4954	413
923	4959	407
924	4964	402
925	4969	397
926	4975	391
927	4981	386
928	4985	381
929	4991	375
930	4996	370
931	5001	364
932	5007	359
933	5013	354
934	5018	348
935	5024	343
936	5029	338
937	5034	332
938	5039	327
939	5045	322
940	5049	316
941	5055	311
942	5060	305
943	5065	300
944	5071	295
945	5077	289
946	5082	284
947	5088	279
948	5094	273
949	5100	268
950	5107	263
951	5112	257
952	5118	252
953	5124	247
954	5129	241
955	5135	236
956	5142	231
957	5147	225
958	5153	220
959	5158	214
960	5164	209
961	5170	204
962	5175	198
963	5181	193
964	5187	188
965	5193	182
966	5198	177
967	5206	172
968	5211	166
969	5216	161
970	5221	155
971	5227	150
972	5233	145
973	5239	139
974	5245	134
975	5252	129
976	5257	123
977	5262	118
978	5269	113
979	5274	107
980	5280	102
981	5287	96
982	5292	91
983	5298	86
984	5304	80
985	5309	75
986	5316	70
987	5322	64
988	5328	59
989	5335	53
990	5340	48
991	5346	43
992	5351	37
993	5356	32
994	5363	26
995	5370	21
996	5376	16
997	5383	10
998	5388	5
999	5394	0
